"path","issue","nbr_words","reason_short_length","presumptive_language","determination_extraction","classify","check_original_by_hand"
"atsd_secretariat_database/ATCM1/wp/ATCM1_wp026_e.txt","missing content",0,"empty","English","AI failed","AI failed","1-page document very poor scan"
"atsd_secretariat_database/ATCM10/wp/ATCM10_wp017_e.txt","missing content",9,"single line","English","AI failed","AI failed","1-page document typewritten reasonable scan quality"
"atsd_secretariat_database/ATCM11/wp/ATCM11_wp023_e.txt","missing content",33,"title page only","English","AI okay","original content short","title page only"
"atsd_secretariat_database/ATCM13/ip/ATCM13_ip006_e.txt","missing content",0,"empty","English","pymupdf okay","original file corrupted","pdf file corrupted"
"atsd_secretariat_database/ATCM17/wp/ATCM17_wp026_e.txt","missing content",32,"title page only","English","AI okay","original content short","title page only"
"atsd_secretariat_database/ATCM18/ip/ATCM18_ip077_e.txt","missing content",32,"title page only","English","AI okay","original content short","title page only"
"atsd_secretariat_database/ATCM19/ip/ATCM19_ip066_s.txt","missing content",0,"empty","Spanish","AI okay","original file corrupted","pdf file corrupted"
"atsd_secretariat_database/ATCM2/wp/ATCM2_wp010_e.txt","missing content",0,"empty","English","AI failed","AI failed","1-page document typewritten fair scan quality"
"atsd_secretariat_database/ATCM22/ip/ATCM22_ip049_e.txt","missing content",22,"title page only","English","LibreOffice okay","original content short","title page only"
"atsd_secretariat_database/ATCM23/ip/ATCM23_ip085_e.txt","missing content",28,"title page only","English","AI okay","original content short","title page only"
"atsd_secretariat_database/ATCM26/ip/ATCM26_ip013_rev1_e.txt","missing content",0,"empty","English","LibreOffice failed","LibreOffice failed","doc with text in text boxes"
"atsd_secretariat_database/ATCM26/ip/ATCM26_ip013_rev2_e.txt","missing content",3,"corrupted?","English","LibreOffice failed","LibreOffice failed","doc with text in text boxes"
"atsd_secretariat_database/ATCM26/ip/ATCM26_ip041_e.txt","missing content",0,"empty","English","LibreOffice failed","LibreOffice failed","doc with text in text boxes"
"atsd_secretariat_database/ATCM26/ip/ATCM26_ip063_rev1_e.txt","missing content",0,"empty","English","LibreOffice failed","LibreOffice failed","doc with text in text boxes but also mostly empty pages"
"atsd_secretariat_database/ATCM26/ip/ATCM26_ip063_rev2_e.txt","missing content",0,"empty","English","LibreOffice failed","LibreOffice failed","doc with text in text boxes but also mostly empty pages"
"atsd_secretariat_database/ATCM26/wp/ATCM26_wp026_e.txt","missing content",0,"empty","English","LibreOffice failed","LibreOffice failed","doc with text in text boxes"
"atsd_secretariat_database/ATCM27/ip/ATCM27_ip084_e.txt","missing content",30,"title page only","English","LibreOffice okay","original content short","title page only"
"atsd_secretariat_database/ATCM27/ip/ATCM27_ip086_e.txt","missing content",23,"title page only","English","LibreOffice okay","original content short","title page only"
"atsd_secretariat_database/ATCM27/ip/ATCM27_ip103_e.txt","missing content",24,"title page only","English","LibreOffice okay","original content short","title page only"
"atsd_secretariat_database/ATCM27/ip/ATCM27_ip104_e.txt","missing content",18,"single line","English","LibreOffice okay","original content short","title page only"
"atsd_secretariat_database/ATCM27/wp/ATCM27_wp016_e.txt","missing content",3,"corrupted?","English","LibreOffice okay","original file corrupted","reads as extracted - atsguestatsguest Cameron Allen6"
"atsd_secretariat_database/ATCM28/ip/ATCM28_ip044_e.txt","missing content",6,"single line","English","LibreOffice okay","original content short","title only"
"atsd_secretariat_database/ATCM28/ip/ATCM28_ip068_e.txt","missing content",5,"single line","English","LibreOffice okay","original content short","title only"
"atsd_secretariat_database/ATCM28/ip/ATCM28_ip087_e.txt","missing content",13,"few lines","English","LibreOffice okay","original content short","title only and might have had a pdf embedded that is gone now?"
"atsd_secretariat_database/ATCM28/ip/ATCM28_ip118_e.txt","missing content",11,"single line","English","LibreOffice okay","original content short","title only"
"atsd_secretariat_database/ATCM28/ip/ATCM28_ip119_e.txt","missing content",10,"two lines","English","LibreOffice okay","original content short","title only"
"atsd_secretariat_database/ATCM28/ip/ATCM28_ip122_e.txt","missing content",3,"single line","English","pymupdf failed","pymupdf failed","31-page normal-looking pdf"
"atsd_secretariat_database/ATCM28/wp/ATCM28_wp017_e.txt","missing content",0,"empty","English","LibreOffice failed","LibreOffice failed","doc file with text embedded as images"
"atsd_secretariat_database/ATCM28/wp/ATCM28_wp026_e.txt","missing content",0,"empty","English","pymupdf failed","pymupdf failed","35-page normal-looking pdf but embedded text not working"
"atsd_secretariat_database/ATCM28/wp/ATCM28_wp031_rev1_e.txt","missing content",8,"only two lines","English","LibreOffice okay","original content short","title only"
"atsd_secretariat_database/ATCM28/wp/ATCM28_wp048_rev3_e.txt","missing content",25,"title page only","English","LibreOffice okay","original content short","title only"
"atsd_secretariat_database/ATCM29/ip/ATCM29_ip098_e.txt","missing content",9,"title page only","English","LibreOffice okay","original content short","title only"
"atsd_secretariat_database/ATCM29/ip/ATCM29_ip099_e.txt","missing content",11,"single line","English","LibreOffice okay","original content short","title only"
"atsd_secretariat_database/ATCM30/ip/ATCM30_ip079_e.txt","missing content",11,"single line","English","LibreOffice okay","original content short","title only content in attachment"
"atsd_secretariat_database/ATCM30/ip/ATCM30_ip080_e.txt","missing content",9,"single line","English","LibreOffice okay","original content short","title only content in attachment"
"atsd_secretariat_database/ATCM30/ip/ATCM30_ip081_e.txt","missing content",13,"single line","English","LibreOffice okay","original content short","title only content in attachment"
"atsd_secretariat_database/ATCM30/ip/ATCM30_ip083_e.txt","missing content",18,"title page only","English","LibreOffice okay","original content short","title only content in attachment"
"atsd_secretariat_database/ATCM30/ip/ATCM30_ip084_e.txt","missing content",4,"single line","English","LibreOffice okay","original content short","title only content in attachment"
"atsd_secretariat_database/ATCM30/ip/ATCM30_ip085_e.txt","missing content",7,"single line","English","LibreOffice okay","original content short","title only content in attachment"
"atsd_secretariat_database/ATCM30/ip/ATCM30_ip086_rev1_e.txt","missing content",8,"single line","English","LibreOffice okay","original content short","title only content in attachment"
"atsd_secretariat_database/ATCM30/ip/ATCM30_ip087_e.txt","missing content",8,"single line","English","LibreOffice okay","original content short","title only content in attachment"
"atsd_secretariat_database/ATCM30/ip/ATCM30_ip115_e.txt","missing content",8,"single line","English","LibreOffice okay","original content short","title only content in attachment"
"atsd_secretariat_database/ATCM30/ip/ATCM30_ip124_e.txt","missing content",8,"single line","English","LibreOffice okay","original content short","title only content in attachment"
"atsd_secretariat_database/ATCM31/ip/ATCM31_ip115_e.txt","missing content",20,"single line","English","LibreOffice okay","original content short","title only content in attachment"
"atsd_secretariat_database/ATCM32/ip/ATCM32_ip120_e.txt","missing content",8,"single line","English","LibreOffice okay","original content short","title only content in attachment"
