path,nbr_characters,nbr_bracketed_illegible,nbr_total_qmarks,nbr_likely_illegible_qmarks,propn_total_illegible,example_bracketed_illegible,example_likely_illegible_qmarks
atsd_secretariat_database/ATCM1/ip/ATCM1_ip001_e.txt,1945,0,1,1,0.0005141388174807198,,L'ANTA?CTIQUE
atsd_secretariat_database/ATCM1/ip/ATCM1_ip002_e.txt,7265,0,3,3,0.00041293874741913283,,sp?akers | r?port | i?eting
atsd_secretariat_database/ATCM1/ip/ATCM1_ip003_e.txt,13288,1,1,0,7.525586995785671e-05,L'ANTA[?]TIQUE,
atsd_secretariat_database/ATCM1/ip/ATCM1_ip004_e.txt,5879,1,1,0,0.00017009695526450075,L'ANTA[?]TIQUE,
atsd_secretariat_database/ATCM1/ip/ATCM1_ip005_e.txt,3755,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/ip/ATCM1_ip006_e.txt,6283,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/ip/ATCM1_ip007_e.txt,6730,0,1,1,0.00014858841010401187,,de?ply
atsd_secretariat_database/ATCM1/ip/ATCM1_ip008_e.txt,4177,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/ip/ATCM1_ip009_e.txt,5676,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/ip/ATCM1_ip010_e.txt,3000,0,1,0,0.0,,
atsd_secretariat_database/ATCM1/ip/ATCM1_ip011_e.txt,4222,0,4,0,0.0,,
atsd_secretariat_database/ATCM1/ip/ATCM1_ip012_e.txt,5038,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/ip/ATCM1_ip013_e.txt,1812,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/ip/ATCM1_ip014_e.txt,4043,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/ip/ATCM1_ip015_e.txt,7271,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/ip/ATCM1_ip016_e.txt,5780,1,1,0,0.00017301038062283736,L'ANTA[?]TIQUE,
atsd_secretariat_database/ATCM1/ip/ATCM1_ip017_e.txt,7219,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/ip/ATCM1_ip018_e.txt,23216,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/ip/ATCM1_ip019_e.txt,2623,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/ip/ATCM1_ip020_e.txt,1098,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/wp/ATCM1_wp001_e.txt,1377,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/wp/ATCM1_wp002_e.txt,7264,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/wp/ATCM1_wp002_rev1_e.txt,839,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/wp/ATCM1_wp003_e.txt,989,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/wp/ATCM1_wp004_e.txt,1000,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/wp/ATCM1_wp005_e.txt,1199,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/wp/ATCM1_wp006_e.txt,979,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/wp/ATCM1_wp007_e.txt,8481,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/wp/ATCM1_wp008_e.txt,1001,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/wp/ATCM1_wp009_e.txt,1530,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/wp/ATCM1_wp011_e.txt,2391,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/wp/ATCM1_wp012_s.txt,5582,0,3,2,0.00035829451809387314,,"expedicion?s | entonces?,"
atsd_secretariat_database/ATCM1/wp/ATCM1_wp013_e.txt,2325,0,0,0,0.0,,
